"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2019', 'Quantity')","('Jan 2019', 'FOB (Baht)')","('Jan - Jan 2019', 'Quantity')","('Jan - Jan 2019', 'FOB (Baht)')"
AU,AUSTRALIA,1001325,39478791,1001325,39478791
BD,BANGLADESH,90000,3124808,90000,3124808
KH,CAMBODIA,571000,23024957,571000,23024957
CA,CANADA,48000,1915075,48000,1915075
CN,CHINA,40604865,1460259700,40604865,1460259700
CI,COTE D IVOIRE,28000,1104152,28000,1104152
DJ,DJIBOUTI,476000,17790424,476000,17790424
FJ,FIJI,14200,727754,14200,727754
PF,FRENCH POLYNESIA,44500,1843064,44500,1843064
DE,GERMANY,320000,14645717,320000,14645717
IN,INDIA,177450,7719715,177450,7719715
ID,INDONESIA,4078100,150379622,4078100,150379622
IL,ISRAEL,1155050,44075510,1155050,44075510
JP,JAPAN,2332200,85249104,2332200,85249104
KZ,KAZAKHSTAN,102000,3705591,102000,3705591
KR,"KOREA,REPUBLIC OF",6000,665661,6000,665661
LA,LAO PDR,192000,6599641,192000,6599641
MG,MADAGASCAR,12000,530232,12000,530232
MY,MALAYSIA,2950450,109507450,2950450,109507450
MV,MALDIVES,329,62279,329,62279
MU,MAURITIUS,114550,5649372,114550,5649372
MM,MYANMAR,385000,13732575,385000,13732575
NL,NETHERLANDS,22000,1023992,22000,1023992
NZ,NEW ZEALAND,706950,28127924,706950,28127924
NG,NIGERIA,476000,10807976,476000,10807976
PK,PAKISTAN,26900,1338511,26900,1338511
PG,PAPUA NEW GUINEA,28400,1539520,28400,1539520
PH,PHILIPPINES,180000,6993973,180000,6993973
RE,REUNION,41200,2037208,41200,2037208
RU,RUSSIAN FEDERATION,157600,6026298,157600,6026298
SN,SENEGAL,67500,3003657,67500,3003657
ZA,SOUTH AFRICA,81500,2980367,81500,2980367
LK,SRI LANKA,31500,1205298,31500,1205298
SE,SWEDEN,47925,2367822,47925,2367822
TW,"TAIWAN, PROVINCE OF CHINA",24000,919982,24000,919982
TR,TÜRKIYE,14075,724974,14075,724974
UA,UKRAINE,398100,15621033,398100,15621033
AE,UNITED ARAB EMIRATES,334750,13510551,334750,13510551
VN,VIETNAM,7022075,231804315,7022075,231804315
SUM,SUM,64363494,2321824595,64363494,2321824595
