"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2020', 'Quantity')","('Jan 2020', 'FOB (Baht)')","('Jan - Jan 2020', 'Quantity')","('Jan - Jan 2020', 'FOB (Baht)')"
AU,AUSTRALIA,52380,3889268,52380,3889268
AT,AUSTRIA,1000,45818,1000,45818
CN,CHINA,7489798,114457967,7489798,114457967
DE,GERMANY,275,18939,275,18939
HK,HONG KONG,25900,199187,25900,199187
IN,INDIA,146525,4968484,146525,4968484
ID,INDONESIA,99650,4470525,99650,4470525
JP,JAPAN,85929,4862137,85929,4862137
KR,"KOREA,REPUBLIC OF",1100,154075,1100,154075
LA,LAO PDR,10130,444983,10130,444983
MY,MALAYSIA,22925,3755793,22925,3755793
MU,MAURITIUS,1000,153954,1000,153954
NZ,NEW ZEALAND,11820,827264,11820,827264
PH,PHILIPPINES,98625,3447145,98625,3447145
SG,SINGAPORE,3000,267795,3000,267795
SI,SLOVENIA,230340,5678703,230340,5678703
LK,SRI LANKA,11,1287,11,1287
TW,"TAIWAN, PROVINCE OF CHINA",72000,2468553,72000,2468553
GB,UNITED KINGDOM,26500,253848,26500,253848
US,UNITED STATES,0,128,0,128
VN,VIETNAM,42275,3896830,42275,3896830
SUM,SUM,8421183,154262683,8421183,154262683
