"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2017', 'Quantity')","('Sept 2017', 'FOB (Baht)')","('Jan - Sept 2017', 'Quantity')","('Jan - Sept 2017', 'FOB (Baht)')"
KH,CAMBODIA,0,0,5425,79600
CN,CHINA,940501,37402238,6214020,258259736
DE,GERMANY,0,0,215,6018
HK,HONG KONG,0,0,2310,2007
IN,INDIA,329,221444,2551,1784275
ID,INDONESIA,0,0,30025,1742596
JP,JAPAN,0,0,7700,279084
KR,"KOREA,REPUBLIC OF",2500,63770,3525,95619
MY,MALAYSIA,78339,4322611,492430,27782018
PH,PHILIPPINES,0,0,91133,3995147
SG,SINGAPORE,0,0,22085,1210000
TW,"TAIWAN, PROVINCE OF CHINA",0,0,1000,67450
SUM,SUM,1021669,42010063,6872419,295303550
