"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2019', 'Quantity')","('Dec 2019', 'FOB (Baht)')","('Jan - Dec 2019', 'Quantity')","('Jan - Dec 2019', 'FOB (Baht)')"
AU,AUSTRALIA,292760,11762898,8960190,361038119
BD,BANGLADESH,0,0,1806595,66993152
BE,BELGIUM,0,0,2429100,134502567
BT,BHUTAN,0,0,321750,11442059
KH,CAMBODIA,1375,43843,1415,70243
CN,CHINA,39268745,1575339714,373768076,16150845642
EC,ECUADOR,0,0,24750,1042102
FJ,FIJI,10000,353261,56000,2046254
DE,GERMANY,0,0,2080,120352
HK,HONG KONG,0,0,400310,20523743
IN,INDIA,716150,30663078,12650450,584561204
ID,INDONESIA,4829830,161510393,62441826,2353313457
JP,JAPAN,9832125,350544592,90054240,3681571887
KR,"KOREA,REPUBLIC OF",459300,23289981,7062190,371848994
MY,MALAYSIA,855370,29856228,10341742,418007382
MU,MAURITIUS,0,0,32500,1213653
MM,MYANMAR,0,0,78000,3922144
NP,NEPAL,0,0,117700,5590266
NL,NETHERLANDS,0,0,300,17513
NZ,NEW ZEALAND,275500,10612613,4935005,196025147
PK,PAKISTAN,24750,728781,619850,26237861
PG,PAPUA NEW GUINEA,0,0,32000,1140662
PH,PHILIPPINES,222750,6717614,10898120,382999449
PT,PORTUGAL,0,0,50000,1778688
RE,REUNION,1500,48643,3500,122815
RU,RUSSIAN FEDERATION,0,0,428500,15733715
SG,SINGAPORE,235950,8306625,2158700,120113878
ZA,SOUTH AFRICA,0,0,45500,1806442
ES,SPAIN,0,0,1875,64374
LK,SRI LANKA,99000,3398194,1162750,43184407
CH,SWITZERLAND,0,0,80,4593
TW,"TAIWAN, PROVINCE OF CHINA",603900,20890854,8380954,341983051
UA,UKRAINE,0,0,2000,72713
US,UNITED STATES,18750,1757338,526295,44159181
VN,VIETNAM,578700,29956319,7573210,408887886
SUM,SUM,58326455,2265780969,607367553,25752985595
