"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2022', 'Quantity')","('Mar 2022', 'FOB (Baht)')","('Jan - Mar 2022', 'Quantity')","('Jan - Mar 2022', 'FOB (Baht)')"
AO,ANGOLA,108000,5528326,108000,5528326
AU,AUSTRALIA,1006050,48246734,2790425,133473635
BD,BANGLADESH,89200,3834074,598800,24538565
KH,CAMBODIA,939800,44961189,2318550,112080697
CM,CAMEROON,0,0,25500,1300533
CA,CANADA,212000,9704617,452000,20792779
CL,CHILE,102000,4774121,510000,25096992
CN,CHINA,8604375,345918477,30881650,1247141762
CG,CONGO,0,0,25000,1141169
CI,COTE D IVOIRE,13500,679344,27000,1359367
CY,CYPRUS,0,0,23875,1100495
EC,ECUADOR,51000,2427057,102000,5050512
FJ,FIJI,14200,748790,59750,3234195
FR,FRANCE,408000,20577248,599950,31154583
PF,FRENCH POLYNESIA,27000,1225293,81000,3742268
GM,GAMBIA,51000,2493730,102000,5055018
DE,GERMANY,479944,25913574,1387425,71708175
GH,GHANA,25500,1343220,127500,6950774
GR,GREECE,24000,1393953,192000,9916638
IN,INDIA,395450,19841305,1131300,57357274
ID,INDONESIA,179600,8647587,1035100,46521282
IL,ISRAEL,309625,16904210,792050,44073061
JP,JAPAN,363452,18328697,900952,44186134
KZ,KAZAKHSTAN,0,0,140000,6034701
KE,KENYA,472500,20980757,472500,20980757
KR,"KOREA,REPUBLIC OF",116500,5292322,436500,22185617
KW,KUWAIT,0,0,24750,1092648
LA,LAO PDR,46000,1597419,142500,5059222
LT,LITHUANIA,0,0,24000,1527390
MG,MADAGASCAR,51000,2637735,116950,6279029
MY,MALAYSIA,2534350,113010599,5623950,248715263
MU,MAURITIUS,112225,6526557,384675,22607645
MX,MEXICO,258000,11002423,363000,15763105
MZ,MOZAMBIQUE,35000,1510044,49200,2421380
MM,MYANMAR,387975,19076438,1988725,87738249
NL,NETHERLANDS,88000,4948604,199000,11385720
NC,NEW CALEDONIA,13750,651556,41000,1949592
NZ,NEW ZEALAND,1449500,67403770,3389800,155274420
NG,NIGERIA,0,0,663000,16125966
PK,PAKISTAN,1000,72226,426825,17273870
PE,PERU,0,0,51000,2360942
PH,PHILIPPINES,593200,26336281,1145200,50035914
PL,POLAND,0,0,49500,2259468
QA,QATAR,189000,7860232,644900,27841425
RE,REUNION,91500,5177162,169500,9519891
SN,SENEGAL,0,0,132700,6905170
SC,SEYCHELLES,0,0,9875,588730
SG,SINGAPORE,6000,681261,18000,1878104
SB,SOLOMON ISLANDS,0,0,14200,818510
SO,SOMALIA,140800,5984695,246400,10664254
ZA,SOUTH AFRICA,417600,19153837,582600,26767011
LK,SRI LANKA,175400,7590847,413200,18224401
SE,SWEDEN,48000,3021174,48000,3021174
TW,"TAIWAN, PROVINCE OF CHINA",100450,4335403,341450,16961426
TZ,TANZANIA UNITED REPUBLIC OF,0,0,26000,1516171
TO,TONGA,0,0,28350,1573011
TT,TRINIDAD AND TOBAGO,204000,10200916,714000,36874348
TR,TÜRKIYE,14200,771481,53900,3033721
UA,UKRAINE,0,0,359800,16238783
AE,UNITED ARAB EMIRATES,105000,4345570,359800,15408660
GB,UNITED KINGDOM,198000,8474462,495000,21334220
US,UNITED STATES,0,0,14875,872286
VN,VIETNAM,1050450,47989217,3074300,138557828
SUM,SUM,22303096,990124534,67750752,2958174256
