"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2019', 'Quantity')","('Apr 2019', 'FOB (Baht)')","('Jan - Apr 2019', 'Quantity')","('Jan - Apr 2019', 'FOB (Baht)')"
AU,AUSTRALIA,15000,339317,15000,339317
BD,BANGLADESH,27000,2815631,27000,2815631
BE,BELGIUM,216000,21771862,778200,80115465
KH,CAMBODIA,30980,4623926,116817,17953413
CN,CHINA,179350,8481759,1034872,40545318
GA,GABON,32500,832190,32500,832190
GH,GHANA,0,0,81250,2050462
HK,HONG KONG,0,0,10,78822
IN,INDIA,554575,41893115,2335627,176311084
ID,INDONESIA,315975,20837203,978700,69792303
JP,JAPAN,2025,150919,3793,328198
KR,"KOREA,REPUBLIC OF",12000,971207,50500,4071515
LA,LAO PDR,245,58688,30512,1305996
MY,MALAYSIA,28725,2935608,156800,17124913
MU,MAURITIUS,0,0,66000,1592466
MM,MYANMAR,0,0,681,50347
NG,NIGERIA,8000,634019,8000,634019
PK,PAKISTAN,1000,97340,38875,1757256
PH,PHILIPPINES,36540,2368361,120598,9373101
SG,SINGAPORE,0,0,900,267020
ZA,SOUTH AFRICA,0,0,53850,234581
LK,SRI LANKA,74,12975,162,31725
TW,"TAIWAN, PROVINCE OF CHINA",56030,4817332,187805,17941690
AE,UNITED ARAB EMIRATES,0,0,4,15
US,UNITED STATES,33425,2064007,67425,4145536
VN,VIETNAM,47500,2190379,221785,11874269
SUM,SUM,1596944,117895838,6407666,461566652
