"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2012', 'Quantity')","('Mar 2012', 'FOB (Baht)')","('Jan - Mar 2012', 'Quantity')","('Jan - Mar 2012', 'FOB (Baht)')"
AU,AUSTRALIA,331160,23061422,742615,50995383
AT,AUSTRIA,0,0,1030,38200
BD,BANGLADESH,435700,23473051,772300,41544705
CN,CHINA,10382320,552446648,25709942,1347375665
DJ,DJIBOUTI,0,0,102000,3039229
DE,GERMANY,0,0,2345,99477
HK,HONG KONG,574217,28973026,970462,47123069
IN,INDIA,970300,53537671,2801825,154641541
ID,INDONESIA,1939536,91954284,5083576,236987490
JP,JAPAN,1402451,84719394,3636671,235386821
KE,KENYA,0,0,17000,447886
KR,"KOREA,REPUBLIC OF",1791800,104816625,5154600,307924875
LA,LAO PDR,15650,782635,218150,6917635
LB,LEBANON,0,0,1500,188605
MY,MALAYSIA,3354055,146172530,7852900,343398201
MM,MYANMAR,1715,31340,2985,56940
NZ,NEW ZEALAND,33250,3657562,60600,5959231
PE,PERU,0,0,288000,11706642
PH,PHILIPPINES,1291100,55901229,3565645,151347734
SA,SAUDI ARABIA,0,0,2950,367758
SG,SINGAPORE,400000,25033057,721825,46639545
LK,SRI LANKA,8800,533098,8800,533098
TW,"TAIWAN, PROVINCE OF CHINA",435265,24145989,1101944,57270325
TR,TÜRKIYE,0,0,16000,634086
GB,UNITED KINGDOM,0,0,1,188
VN,VIETNAM,132200,7726044,226963,13886582
SUM,SUM,23499519,1226965605,59062629,3064510911
