"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2017', 'Quantity')","('Oct 2017', 'FOB (Baht)')","('Jan - Oct 2017', 'Quantity')","('Jan - Oct 2017', 'FOB (Baht)')"
BH,BAHRAIN,25000,898973,25000,898973
KH,CAMBODIA,6625,75610,12050,155210
CN,CHINA,713000,28359071,6927020,286618807
DE,GERMANY,0,0,215,6018
GR,GREECE,24750,959446,24750,959446
HK,HONG KONG,0,0,2310,2007
IN,INDIA,391,261550,2942,2045825
ID,INDONESIA,0,0,30025,1742596
JP,JAPAN,0,0,7700,279084
KR,"KOREA,REPUBLIC OF",0,0,3525,95619
MY,MALAYSIA,92891,4795748,585321,32577766
PH,PHILIPPINES,18038,944748,109171,4939895
SG,SINGAPORE,0,0,22085,1210000
TW,"TAIWAN, PROVINCE OF CHINA",0,0,1000,67450
AE,UNITED ARAB EMIRATES,50000,1765107,50000,1765107
VN,VIETNAM,22000,930680,22000,930680
SUM,SUM,952695,38990933,7825114,334294483
