"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2020', 'Quantity')","('May 2020', 'FOB (Baht)')","('Jan - May 2020', 'Quantity')","('Jan - May 2020', 'FOB (Baht)')"
AR,ARGENTINA,0,0,176600,11248311
AU,AUSTRALIA,8000,218905,35204,2144346
BD,BANGLADESH,331000,9819845,1494000,47824290
BR,BRAZIL,38800,2325349,259300,12953993
KH,CAMBODIA,92800,2906283,938313,30931635
CM,CAMEROON,171000,4382386,171000,4382386
CA,CANADA,0,0,300,9049
CN,CHINA,10541162,174426591,29750085,482533951
CG,CONGO,0,0,500250,14439230
CI,COTE D IVOIRE,55000,1701522,97000,2962299
DJ,DJIBOUTI,0,0,685000,8887823
FJ,FIJI,0,0,16000,404720
PF,FRENCH POLYNESIA,0,0,60000,1872963
DE,GERMANY,0,0,5074,341906
GH,GHANA,0,0,48750,1040273
GT,GUATEMALA,24750,713630,75750,1993224
GN,GUINEA,0,0,500250,11979032
HK,HONG KONG,0,0,97253,3843932
IN,INDIA,0,0,2697197,101098829
ID,INDONESIA,3219300,85883439,19990355,603242912
JP,JAPAN,1322530,36997803,4295578,136253418
KE,KENYA,0,0,68000,1391830
KR,"KOREA,REPUBLIC OF",400,12890,6127,219701
LA,LAO PDR,113010,3608793,215510,7267641
MG,MADAGASCAR,17250,447729,17250,447729
MY,MALAYSIA,354672,10850718,1916573,66710638
MU,MAURITIUS,0,0,34000,1172755
MZ,MOZAMBIQUE,0,0,136000,3557118
MM,MYANMAR,90300,2822699,492600,15658261
NZ,NEW ZEALAND,0,0,8000,258950
NG,NIGERIA,172500,4928292,345000,10035004
PK,PAKISTAN,158475,4002329,785870,22704449
PH,PHILIPPINES,933060,29614250,3362811,116850019
PL,POLAND,206820,4065613,735360,14915389
QA,QATAR,6000,172086,6000,172086
RO,ROMANIA,0,0,36000,2265678
SG,SINGAPORE,85108,2510417,400108,12948026
SI,SLOVENIA,0,0,507640,14241269
ZA,SOUTH AFRICA,0,0,176275,10728415
LK,SRI LANKA,17000,486430,117020,7572350
CH,SWITZERLAND,0,0,27,41
TW,"TAIWAN, PROVINCE OF CHINA",2150,169476,9951,949600
TZ,TANZANIA UNITED REPUBLIC OF,78000,1525472,315250,6412911
TG,TOGO,0,0,32500,719129
TR,TÜRKIYE,0,0,50,1682
US,UNITED STATES,16000,1185909,373702,46587919
VN,VIETNAM,905775,27853337,2811409,101351458
ZM,ZAMBIA,0,0,128000,2802564
SUM,SUM,18960862,413632193,74930292,1948331134
