"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2023', 'Quantity')","('Feb 2023', 'FOB (Baht)')","('Jan - Feb 2023', 'Quantity')","('Jan - Feb 2023', 'FOB (Baht)')"
AU,AUSTRALIA,475550,18552129,1375660,57278375
BD,BANGLADESH,178500,6463454,481000,18090301
BE,BELGIUM,99000,9005715,198000,16824335
CM,CAMEROON,33000,1378266,33000,1378266
CN,CHINA,31533455,2070633167,54210362,3738265201
FJ,FIJI,0,0,30000,1250059
IN,INDIA,1566400,112926070,2810950,189135113
ID,INDONESIA,7505580,303423895,12831710,530480542
IR,IRAN (ISLAMIC REPUBLIC OF),0,0,49500,3191986
JP,JAPAN,4897150,265086137,10238140,575161531
KZ,KAZAKHSTAN,15500,617022,15500,617022
KR,"KOREA,REPUBLIC OF",535000,45973358,931000,82203047
LT,LITHUANIA,398000,15392495,748000,29215907
MY,MALAYSIA,490150,21465274,1081975,53107077
MM,MYANMAR,100500,3692154,166500,6123853
NZ,NEW ZEALAND,96760,4248062,452290,20903363
PK,PAKISTAN,0,0,25500,1090020
PH,PHILIPPINES,1356000,51708880,2368000,91431743
PT,PORTUGAL,0,0,148500,5750514
RE,REUNION,0,0,4000,163196
RU,RUSSIAN FEDERATION,50000,1908820,95000,3620283
SG,SINGAPORE,292900,27127365,545200,50503459
LK,SRI LANKA,25500,882234,25500,882234
TW,"TAIWAN, PROVINCE OF CHINA",893760,42290911,1368060,64424676
AE,UNITED ARAB EMIRATES,198000,7332806,198000,7332806
US,UNITED STATES,4,261,4,261
VN,VIETNAM,1026350,56285572,1865450,118284605
YE,YEMEN,33000,1410568,33000,1410568
SUM,SUM,51800059,3067804615,92329801,5668120343
