"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2020', 'Quantity')","('Feb 2020', 'FOB (Baht)')","('Jan - Feb 2020', 'Quantity')","('Jan - Feb 2020', 'FOB (Baht)')"
AU,AUSTRALIA,55195,3585213,107575,7474481
AT,AUSTRIA,0,0,1000,45818
CN,CHINA,7194852,184210165,14684650,298668132
FJ,FIJI,10550,330785,10550,330785
DE,GERMANY,0,0,275,18939
HK,HONG KONG,103600,720516,129500,919703
IN,INDIA,407875,10072629,554400,15041113
ID,INDONESIA,63975,3724605,163625,8195130
JP,JAPAN,189622,7802327,275551,12664464
KR,"KOREA,REPUBLIC OF",20675,1254231,21775,1408306
LA,LAO PDR,0,0,10130,444983
MY,MALAYSIA,38900,1024957,61825,4780750
MU,MAURITIUS,0,0,1000,153954
MM,MYANMAR,26500,1281464,26500,1281464
NZ,NEW ZEALAND,16900,1160586,28720,1987850
PH,PHILIPPINES,0,0,98625,3447145
SG,SINGAPORE,26,5200,3026,272995
SI,SLOVENIA,552270,13097556,782610,18776259
LK,SRI LANKA,0,0,11,1287
TW,"TAIWAN, PROVINCE OF CHINA",123000,4484822,195000,6953375
GB,UNITED KINGDOM,600,104576,27100,358424
US,UNITED STATES,18784,190196,18784,190324
VN,VIETNAM,49155,5376061,91430,9272891
SUM,SUM,8872479,238425889,17293662,392688572
