"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2021', 'Quantity')","('Jul 2021', 'FOB (Baht)')","('Jan - Jul 2021', 'Quantity')","('Jan - Jul 2021', 'FOB (Baht)')"
CN,CHINA,28500,323737,602060,6161627
DE,GERMANY,0,0,890,86338
HK,HONG KONG,0,0,26,31
IN,INDIA,2975,452248,3975,736968
ID,INDONESIA,0,0,0,31
KR,"KOREA,REPUBLIC OF",50,2400,50,2400
LA,LAO PDR,15000,577765,83092,3417490
MY,MALAYSIA,0,0,3,666
NL,NETHERLANDS,0,0,11,1785
SG,SINGAPORE,0,0,95,1311
ES,SPAIN,500,44100,610,54880
US,UNITED STATES,0,0,21,2713
VN,VIETNAM,0,0,25,590
SUM,SUM,47025,1400250,690858,10466830
