"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2022', 'Quantity')","('Feb 2022', 'FOB (Baht)')","('Jan - Feb 2022', 'Quantity')","('Jan - Feb 2022', 'FOB (Baht)')"
AR,ARGENTINA,22500,1610775,52500,3790824
AU,AUSTRALIA,12240,1008281,55020,4346434
KH,CAMBODIA,0,0,26000,1565124
CN,CHINA,6956561,80375465,12933376,155721527
FJ,FIJI,15000,935495,15000,935495
DE,GERMANY,600,9847,850,89363
IN,INDIA,307000,11030641,552375,20811364
ID,INDONESIA,1000,129542,9627,1011995
IT,ITALY,10,328,10,328
JP,JAPAN,25742,2836864,171009,11994227
KR,"KOREA,REPUBLIC OF",434286,2341307,435186,2365369
LA,LAO PDR,5700,515537,12200,1052329
MY,MALAYSIA,52296,6437693,110541,11894377
NZ,NEW ZEALAND,1000,85707,1025,108631
PH,PHILIPPINES,0,0,3000,509015
SG,SINGAPORE,12005,1383574,26219,3134870
SI,SLOVENIA,115100,3641226,207210,6830259
TW,"TAIWAN, PROVINCE OF CHINA",74400,2975583,152825,6507250
TR,TÜRKIYE,2,131,8002,1161116
AE,UNITED ARAB EMIRATES,0,0,12275,951478
US,UNITED STATES,93831,3080691,93831,3081012
VN,VIETNAM,56805,5338039,144065,9276171
SUM,SUM,8186078,123736726,15022146,247138558
