"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2015', 'Quantity')","('Sept 2015', 'FOB (Baht)')","('Jan - Sept 2015', 'Quantity')","('Jan - Sept 2015', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,30000,379432
KH,CAMBODIA,0,0,40000,1990853
CN,CHINA,0,0,44000,3116204
DE,GERMANY,0,0,1100,48159
HK,HONG KONG,1000,64004,2375,191050
IN,INDIA,160,5659,160,5659
ID,INDONESIA,2000,124573,40175,3116117
JP,JAPAN,0,0,1250,88414
LA,LAO PDR,27000,1234000,27000,1234000
PK,PAKISTAN,0,0,11750,1066471
PH,PHILIPPINES,0,0,79000,4476885
TW,"TAIWAN, PROVINCE OF CHINA",0,0,402,23113
VN,VIETNAM,36000,2042475,120000,6624441
SUM,SUM,66160,3470711,397212,22360798
