"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2018', 'Quantity')","('Feb 2018', 'FOB (Baht)')","('Jan - Feb 2018', 'Quantity')","('Jan - Feb 2018', 'FOB (Baht)')"
AU,AUSTRALIA,30000,677994,30000,677994
BD,BANGLADESH,0,0,16275,219246
BE,BELGIUM,240000,23049828,288000,27631616
KH,CAMBODIA,0,0,60,19973
CN,CHINA,315550,9757612,627050,19442001
EG,EGYPT,0,0,48625,3040187
GA,GABON,32000,751008,32000,751008
HK,HONG KONG,0,0,16,96806
IN,INDIA,672200,50942556,1017350,79147070
ID,INDONESIA,395850,26280816,682125,48546930
JP,JAPAN,14725,1444412,14725,1444412
KR,"KOREA,REPUBLIC OF",0,0,12000,993819
LA,LAO PDR,30,3233,85,19555
MY,MALAYSIA,25802,2575254,71002,6392829
MZ,MOZAMBIQUE,0,0,32500,749038
MM,MYANMAR,7,6,7,6
PH,PHILIPPINES,18359,2663412,45547,6185919
SA,SAUDI ARABIA,0,0,48450,3742010
ZA,SOUTH AFRICA,600,82441,20050,966517
LK,SRI LANKA,16000,379297,32000,758441
TW,"TAIWAN, PROVINCE OF CHINA",26500,2300882,36600,2963895
AE,UNITED ARAB EMIRATES,0,0,30000,682979
US,UNITED STATES,0,0,16000,973446
VN,VIETNAM,55080,4109373,110665,8068974
SUM,SUM,1842703,125018124,3211132,213514671
