"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2014', 'Quantity')","('May 2014', 'FOB (Baht)')","('Jan - May 2014', 'Quantity')","('Jan - May 2014', 'FOB (Baht)')"
JP,JAPAN,1000,47066,1000,47066
PH,PHILIPPINES,51950,4606165,100425,8164005
SG,SINGAPORE,25,2401,25,2401
SUM,SUM,52975,4655632,101450,8213472
