"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2014', 'Quantity')","('Mar 2014', 'FOB (Baht)')","('Jan - Mar 2014', 'Quantity')","('Jan - Mar 2014', 'FOB (Baht)')"
DZ,ALGERIA,113600,6970618,351500,20889375
AO,ANGOLA,252800,13937594,252800,13937594
AU,AUSTRALIA,439000,23992079,1246100,68436118
BD,BANGLADESH,126000,6360453,648000,32414572
BE,BELGIUM,728025,38068290,1025025,52560847
BJ,BENIN,0,0,17600,939330
BR,BRAZIL,1224000,60341478,2432600,118905459
BN,BRUNEI DARUSSALAM,0,0,2000,104904
BG,BULGARIA,0,0,34500,1770765
KH,CAMBODIA,330000,17926716,1093000,59712525
CN,CHINA,10921345,551543123,38567780,1979311849
CI,COTE D IVOIRE,486000,23839729,1422000,70283708
DK,DENMARK,34000,1661486,85000,4284929
DJ,DJIBOUTI,36000,1787834,108000,5343732
EC,ECUADOR,52500,2791073,105000,5536435
FJ,FIJI,41200,2415055,41200,2415055
FI,FINLAND,0,0,340000,19299951
FR,FRANCE,204000,11231041,758000,40923054
PF,FRENCH POLYNESIA,13500,792496,45000,2524766
GA,GABON,14200,864334,14200,864334
GM,GAMBIA,0,0,14000,829270
DE,GERMANY,200000,12201180,619000,36660735
GH,GHANA,450000,21768917,1260000,61713867
GR,GREECE,120000,7696041,263975,15562245
IN,INDIA,2217325,110584507,2636775,133260193
ID,INDONESIA,6286170,326268183,19247120,993829662
IL,ISRAEL,336000,20144712,1198000,72157183
JM,JAMAICA,25500,1513950,25500,1513950
JP,JAPAN,852500,44785891,2653425,140893165
KE,KENYA,0,0,186900,10474887
KR,"KOREA,REPUBLIC OF",0,0,1000,53874
LA,LAO PDR,56000,2917806,98000,5117855
LY,LIBYAN ARAB JAMAHIRIYA,0,0,176800,10663556
LT,LITHUANIA,17600,948152,52700,2833823
MG,MADAGASCAR,27000,1559760,58000,3278530
MY,MALAYSIA,863800,45050335,2327000,123373842
MV,MALDIVES,0,0,17600,908471
ML,MALI,54000,3064859,54000,3064859
MU,MAURITIUS,81100,4712154,163400,9135475
MZ,MOZAMBIQUE,75700,4120903,254800,13667677
MM,MYANMAR,0,0,41875,2858373
NL,NETHERLANDS,48000,2865405,113500,6631440
NC,NEW CALEDONIA,0,0,49500,2631211
NZ,NEW ZEALAND,312700,18465327,981400,56697456
OM,OMAN,211200,11054390,211200,11054390
PK,PAKISTAN,105600,5527195,140800,7299135
PG,PAPUA NEW GUINEA,0,0,65800,4236775
PH,PHILIPPINES,216000,11291658,880725,46402584
PL,POLAND,67525,3881408,643175,36745473
PT,PORTUGAL,0,0,385500,19712037
RE,REUNION,40500,2338850,120000,6915274
RO,ROMANIA,192000,10612842,192000,10612842
RU,RUSSIAN FEDERATION,522900,27801582,681000,36465007
SN,SENEGAL,40500,2278714,67500,3807222
SL,SIERRA LEONE,13500,770245,27000,1549440
SG,SINGAPORE,0,0,17875,1005410
SI,SLOVENIA,0,0,48000,2849191
SB,SOLOMON ISLANDS,2500,127380,2500,127380
ZA,SOUTH AFRICA,108770,5937888,302270,16038376
ES,SPAIN,48750,2487706,146250,7594825
LK,SRI LANKA,105600,5480613,290100,15140562
SD,SUDAN,0,0,208200,12000491
SE,SWEDEN,240000,13829303,336000,19108792
TW,"TAIWAN, PROVINCE OF CHINA",17500,918216,129875,6925743
TZ,TANZANIA UNITED REPUBLIC OF,158400,8180851,264000,13802411
TG,TOGO,342000,16865433,720000,35549753
TR,TÜRKIYE,235400,13113092,523800,28736422
UA,UKRAINE,158400,8422973,629600,34036154
AE,UNITED ARAB EMIRATES,545600,28143302,1231500,63275627
GB,UNITED KINGDOM,0,0,24375,1335243
VN,VIETNAM,1354435,69929967,3149485,162806938
SUM,SUM,31766645,1642185089,92522105,4813404398
