"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2016', 'Quantity')","('Apr 2016', 'FOB (Baht)')","('Jan - Apr 2016', 'Quantity')","('Jan - Apr 2016', 'FOB (Baht)')"
AU,AUSTRALIA,158890,12237692,482580,37356300
BD,BANGLADESH,0,0,108340,7355174
BE,BELGIUM,0,0,79200,5688574
CN,CHINA,9263974,581512407,42378754,2764217978
ET,ETHIOPIA,16000,470906,16000,470906
FJ,FIJI,14900,698547,30500,1393865
DE,GERMANY,39600,2742482,178200,12492719
GH,GHANA,0,0,31000,775000
HK,HONG KONG,49539,2997395,394624,22417686
IN,INDIA,1399545,62225630,5937790,315712326
ID,INDONESIA,356625,24674751,1649970,116993103
JP,JAPAN,2331391,140146883,11392809,709776547
KR,"KOREA,REPUBLIC OF",510275,36470601,2934190,216012903
LA,LAO PDR,0,488,35925,1251781
MY,MALAYSIA,134000,9838856,616250,47915573
MU,MAURITIUS,0,0,34100,908613
MM,MYANMAR,0,0,450,15000
NZ,NEW ZEALAND,31800,2437022,96850,7968487
PK,PAKISTAN,0,0,240,71825
PG,PAPUA NEW GUINEA,0,0,50,7459
PH,PHILIPPINES,40600,3016614,154500,10197129
SA,SAUDI ARABIA,0,0,15000,1375376
SG,SINGAPORE,248635,16938557,824035,58215290
ZA,SOUTH AFRICA,0,0,6500,1096768
ES,SPAIN,300,21352,300,21352
LK,SRI LANKA,38675,1819658,77050,3991997
TW,"TAIWAN, PROVINCE OF CHINA",445471,29291541,1652871,105801416
US,UNITED STATES,79600,5373118,120419,8237378
VN,VIETNAM,677540,49029228,2257780,171243457
SUM,SUM,15837360,981943728,71506277,4628981982
