"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2019', 'Quantity')","('Sept 2019', 'FOB (Baht)')","('Jan - Sept 2019', 'Quantity')","('Jan - Sept 2019', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,69,43183
BN,BRUNEI DARUSSALAM,0,0,60,5283
KH,CAMBODIA,280,52360,1666,460240
CN,CHINA,0,0,570424,12681879
DK,DENMARK,74,10114,74,10114
DE,GERMANY,0,0,44,5608
IN,INDIA,64000,2299711,949000,37421495
ID,INDONESIA,25,36938,817,699663
IT,ITALY,0,0,74,10114
JP,JAPAN,0,0,196,44425
KR,"KOREA,REPUBLIC OF",74,10114,425,35594
LA,LAO PDR,3086,561540,102045,8281866
MY,MALAYSIA,0,0,0,327
MM,MYANMAR,0,0,256,106000
NG,NIGERIA,0,0,15000,757187
NO,NORWAY,0,0,37,5057
SG,SINGAPORE,0,0,3122,209371
ZA,SOUTH AFRICA,0,0,52,14953
LK,SRI LANKA,0,0,9000,445445
TZ,TANZANIA UNITED REPUBLIC OF,0,0,10000,510406
VN,VIETNAM,0,0,1674,208411
SUM,SUM,67539,2970777,1664035,61956621
