"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2013', 'Quantity')","('Feb 2013', 'FOB (Baht)')","('Jan - Feb 2013', 'Quantity')","('Jan - Feb 2013', 'FOB (Baht)')"
CN,CHINA,2550,168356,2550,168356
ID,INDONESIA,81950,5328086,183150,12357281
JP,JAPAN,3950,367769,5050,456397
KR,"KOREA,REPUBLIC OF",0,0,100,32388
MY,MALAYSIA,70100,4511699,98100,6335462
SG,SINGAPORE,1,88,1,88
TW,"TAIWAN, PROVINCE OF CHINA",750,32194,750,32194
US,UNITED STATES,4,118,4,118
VN,VIETNAM,400,69410,400,69410
SUM,SUM,159705,10477720,290105,19451694
