"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2023', 'Quantity')","('Jan 2023', 'FOB (Baht)')","('Jan - Jan 2023', 'Quantity')","('Jan - Jan 2023', 'FOB (Baht)')"
KH,CAMBODIA,600,29796,600,29796
CA,CANADA,1300,47195,1300,47195
CN,CHINA,1520515,19627043,1520515,19627043
DE,GERMANY,30,3000,30,3000
IN,INDIA,1236662,60051396,1236662,60051396
ID,INDONESIA,30530,2538501,30530,2538501
JP,JAPAN,1487,265202,1487,265202
KR,"KOREA,REPUBLIC OF",677,10189,677,10189
LA,LAO PDR,40800,2753395,40800,2753395
MY,MALAYSIA,26058,2214019,26058,2214019
MX,MEXICO,24000,866890,24000,866890
MM,MYANMAR,103000,4134825,103000,4134825
PH,PHILIPPINES,24764,2762838,24764,2762838
SG,SINGAPORE,200,13156,200,13156
SI,SLOVENIA,161680,9278028,161680,9278028
ZA,SOUTH AFRICA,10000,607200,10000,607200
LK,SRI LANKA,350,108911,350,108911
US,UNITED STATES,4650,859221,4650,859221
VN,VIETNAM,71660,3648299,71660,3648299
SUM,SUM,3258963,109819104,3258963,109819104
