"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2014', 'Quantity')","('Aug 2014', 'FOB (Baht)')","('Jan - Aug 2014', 'Quantity')","('Jan - Aug 2014', 'FOB (Baht)')"
AR,ARGENTINA,0,15,677350,51500070
AU,AUSTRALIA,0,0,2300,398812
BR,BRAZIL,0,0,100,10577
CN,CHINA,0,0,7750,733426
IN,INDIA,0,0,5000,457761
ID,INDONESIA,42000,2836651,279275,18969362
JP,JAPAN,2055,196048,59624,5045125
KR,"KOREA,REPUBLIC OF",0,0,425,14909
LA,LAO PDR,0,0,650,56550
MY,MALAYSIA,0,0,300,26160
PK,PAKISTAN,0,0,2500,290075
SG,SINGAPORE,0,0,2000,311546
TW,"TAIWAN, PROVINCE OF CHINA",0,0,238,82600
VN,VIETNAM,98800,6362304,468350,30034854
SUM,SUM,142855,9395018,1505862,107931827
