"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2016', 'Quantity')","('Mar 2016', 'FOB (Baht)')","('Jan - Mar 2016', 'Quantity')","('Jan - Mar 2016', 'FOB (Baht)')"
AO,ANGOLA,0,0,72000,2736918
AR,ARGENTINA,0,0,108000,4127127
AU,AUSTRALIA,783400,33192020,2017525,85625237
BH,BAHRAIN,72000,3209210,148800,6622468
BD,BANGLADESH,323200,14338979,733800,32513072
BE,BELGIUM,119000,4919071,598500,25500289
BR,BRAZIL,0,0,54000,2198896
KH,CAMBODIA,419975,20151900,1182875,56149374
CM,CAMEROON,0,0,144000,5677168
CA,CANADA,100000,5136435,239500,12311372
CL,CHILE,76500,3454358,76500,3454358
CN,CHINA,6646570,290639568,25533125,1083992044
CG,CONGO,0,0,14000,770516
CI,COTE D IVOIRE,558000,21331061,666000,25626861
DK,DENMARK,34000,1456030,34000,1456030
DJ,DJIBOUTI,0,0,270000,11300269
EC,ECUADOR,0,0,35000,1511545
EG,EGYPT,13000,571481,46500,2039700
FJ,FIJI,42750,2266961,145350,7933379
FI,FINLAND,0,0,1375,62847
FR,FRANCE,0,0,143000,7033185
PF,FRENCH POLYNESIA,13500,697239,27000,1416596
GA,GABON,72000,2750752,125600,4945499
GM,GAMBIA,0,0,18000,690684
DE,GERMANY,643950,33251457,1259700,64643123
GH,GHANA,535500,20670435,1327500,51095409
GR,GREECE,0,0,72750,3188962
IN,INDIA,421925,19798757,924125,42449123
ID,INDONESIA,3914310,161028790,10532200,438136975
IL,ISRAEL,677425,32416936,2348050,110451084
JP,JAPAN,1549525,61922142,4621600,187405763
KZ,KAZAKHSTAN,0,0,172000,7272769
KE,KENYA,118525,5629535,519025,24819718
KR,"KOREA,REPUBLIC OF",20000,2394950,68400,8697167
LA,LAO PDR,43284,1703244,93113,3867217
LV,LATVIA,0,0,27000,1273457
MG,MADAGASCAR,13500,645801,40500,2042511
MY,MALAYSIA,1050200,43758692,2557325,106795111
ML,MALI,54000,2521522,54000,2521522
MU,MAURITIUS,49400,2508489,210200,10879524
MZ,MOZAMBIQUE,162000,6170088,382600,15358231
MM,MYANMAR,164000,7037223,560500,24059301
NL,NETHERLANDS,66000,3523357,112000,5862369
NC,NEW CALEDONIA,31500,1400845,58975,2841297
NZ,NEW ZEALAND,246000,10370043,963000,40768296
NG,NIGERIA,63000,1421727,63000,1421727
OM,OMAN,140800,6301543,140800,6301543
PK,PAKISTAN,67800,3675544,71800,4141329
PG,PAPUA NEW GUINEA,92000,4682221,110000,5408059
PE,PERU,0,0,216000,8777338
PH,PHILIPPINES,231350,9570208,717950,30764529
PL,POLAND,105000,4584657,255000,11208694
PT,PORTUGAL,0,0,16500,736638
QA,QATAR,56775,3362624,85175,5074601
RE,REUNION,26000,1287677,65000,3284596
RO,ROMANIA,24000,1096081,48000,2198002
RU,RUSSIAN FEDERATION,273000,10866458,1078050,44915646
SN,SENEGAL,13500,647802,56050,3064059
SL,SIERRA LEONE,162000,6779951,189000,8034174
SG,SINGAPORE,44000,1775112,172375,7172849
SK,SLOVAKIA,0,0,48750,2080392
SI,SLOVENIA,153000,6043801,204000,8183632
SO,SOMALIA,8006,832216,8006,832216
ZA,SOUTH AFRICA,443500,18419033,888100,37270486
ES,SPAIN,0,0,48750,2077729
LK,SRI LANKA,108525,4788407,262825,11511926
SD,SUDAN,0,0,13500,650878
CH,SWITZERLAND,0,0,200,8319
TW,"TAIWAN, PROVINCE OF CHINA",41100,2222780,128600,5861049
TZ,TANZANIA UNITED REPUBLIC OF,0,0,70400,2997701
TG,TOGO,0,0,360000,13931736
TR,TÜRKIYE,128400,5939849,246700,12029440
UA,UKRAINE,78000,3732966,309100,14225421
AE,UNITED ARAB EMIRATES,182925,8749790,1045300,47387043
GB,UNITED KINGDOM,13000,563239,48000,2060117
UY,URUGUAY,10000,418512,10000,418512
VN,VIETNAM,1376600,61405305,4642098,201502354
YE,YEMEN,0,0,100,3924
SUM,SUM,22877220,990034874,70958142,3045661022
