"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2014', 'Quantity')","('Jun 2014', 'FOB (Baht)')","('Jan - Jun 2014', 'Quantity')","('Jan - Jun 2014', 'FOB (Baht)')"
CN,CHINA,0,0,16400,1109313
ID,INDONESIA,0,0,80100,4521590
JP,JAPAN,1600,93434,1600,93434
KR,"KOREA,REPUBLIC OF",0,0,50,1582
MM,MYANMAR,0,0,39,10000
PK,PAKISTAN,0,0,13300,1198295
TW,"TAIWAN, PROVINCE OF CHINA",15000,1118360,15000,1118360
US,UNITED STATES,0,0,5500,578344
SUM,SUM,16600,1211794,131989,8630918
