"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2022', 'Quantity')","('Jun 2022', 'FOB (Baht)')","('Jan - Jun 2022', 'Quantity')","('Jan - Jun 2022', 'FOB (Baht)')"
BD,BANGLADESH,0,0,16250,457179
BN,BRUNEI DARUSSALAM,0,0,20000,1023662
JP,JAPAN,0,0,188,4817
MX,MEXICO,24000,2166576,24000,2166576
TR,TÜRKIYE,0,0,30000,2516004
US,UNITED STATES,0,0,37800,3957662
VN,VIETNAM,19025,1343977,228025,14593878
SUM,SUM,43025,3510553,356263,24719778
