"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2018', 'Quantity')","('Aug 2018', 'FOB (Baht)')","('Jan - Aug 2018', 'Quantity')","('Jan - Aug 2018', 'FOB (Baht)')"
AU,AUSTRALIA,11000,1084014,99000,9234573
CN,CHINA,223697,10864519,1178270,50163193
CI,COTE D IVOIRE,0,0,178500,6565569
HK,HONG KONG,24000,1140281,200000,8161810
IN,INDIA,0,0,20200,786708
ID,INDONESIA,148025,6483501,632425,28859964
JP,JAPAN,0,0,61700,3206973
KR,"KOREA,REPUBLIC OF",4000,446414,12000,1297860
MX,MEXICO,0,0,105000,4795738
PK,PAKISTAN,0,0,375,61368
TW,"TAIWAN, PROVINCE OF CHINA",0,0,200,32000
TR,TÜRKIYE,0,0,51,497
VN,VIETNAM,66500,2829621,440700,18046939
SUM,SUM,477222,22848350,2928421,131213192
