"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2017', 'Quantity')","('May 2017', 'FOB (Baht)')","('Jan - May 2017', 'Quantity')","('Jan - May 2017', 'FOB (Baht)')"
BE,BELGIUM,0,0,91,11978
CN,CHINA,0,0,5066,514715
DK,DENMARK,0,0,33,5057
HK,HONG KONG,75,10114,177,159093
IN,INDIA,144000,6670212,658750,30844530
ID,INDONESIA,25098,1553038,25446,1784476
IT,ITALY,0,0,99,15171
JP,JAPAN,298,40456,2520,565874
KR,"KOREA,REPUBLIC OF",186,25285,186,25285
LA,LAO PDR,500,40000,50266,7197546
MY,MALAYSIA,60,79797,60,79797
SG,SINGAPORE,5000,337897,12500,858439
LK,SRI LANKA,1100,71886,1100,71886
AE,UNITED ARAB EMIRATES,0,0,33,5057
VN,VIETNAM,3,20626,17,108152
SUM,SUM,176320,8849311,756344,42247056
