"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2012', 'Quantity')","('Jun 2012', 'FOB (Baht)')","('Jan - Jun 2012', 'Quantity')","('Jan - Jun 2012', 'FOB (Baht)')"
AU,AUSTRALIA,60075,3510050,1317545,86304437
AT,AUSTRIA,0,0,1030,38200
BD,BANGLADESH,79200,4549784,1326700,70641915
CN,CHINA,8905440,483689932,53543606,2880888957
DJ,DJIBOUTI,0,0,102000,3039229
ET,ETHIOPIA,50000,1504574,50000,1504574
FJ,FIJI,0,0,12750,688225
DE,GERMANY,0,0,2345,99477
HK,HONG KONG,165010,8883835,1785944,91477190
IN,INDIA,1020300,54985823,6094350,339076233
ID,INDONESIA,1484829,69484268,9314185,446418413
JP,JAPAN,3150667,179840749,11426870,672512426
KE,KENYA,0,0,17000,447886
KR,"KOREA,REPUBLIC OF",2080400,123758378,10872390,649132802
LA,LAO PDR,4500,154000,247650,8196135
LB,LEBANON,0,0,1500,188605
MY,MALAYSIA,5353936,222271783,18473911,827428600
ML,MALI,0,0,16000,292764
MU,MAURITIUS,0,0,33250,1016938
MM,MYANMAR,300,5000,3485,76940
NZ,NEW ZEALAND,19806,1438930,118331,10834336
PK,PAKISTAN,0,0,8800,505360
PE,PERU,0,0,288000,11706642
PH,PHILIPPINES,788672,33374676,5984617,262997819
SA,SAUDI ARABIA,0,0,2950,367758
SG,SINGAPORE,206800,12674149,1630084,98692940
LK,SRI LANKA,19800,1179156,48400,2922206
TW,"TAIWAN, PROVINCE OF CHINA",335205,16059801,2580884,136301086
TR,TÜRKIYE,0,0,16000,634086
GB,UNITED KINGDOM,0,3,3,4399
US,UNITED STATES,154,342,159,1260
VN,VIETNAM,101900,6298969,528463,32521627
SUM,SUM,23826994,1223664202,125849202,6636959465
