"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2012', 'Quantity')","('Jul 2012', 'FOB (Baht)')","('Jan - Jul 2012', 'Quantity')","('Jan - Jul 2012', 'FOB (Baht)')"
AU,AUSTRALIA,27000,2604518,208750,16986589
AT,AUSTRIA,0,0,3100,274898
BD,BANGLADESH,0,0,21625,1879454
BY,BELARUS,0,0,1000,170372
BE,BELGIUM,0,0,147,4772
BR,BRAZIL,16500,1751056,88500,9138224
CA,CANADA,0,0,36000,3075650
CN,CHINA,404750,33470973,1987430,196853637
DJ,DJIBOUTI,0,0,64000,1918371
ET,ETHIOPIA,0,0,64000,1846248
GA,GABON,0,0,48600,1391803
DE,GERMANY,250,20500,3250,209003
GH,GHANA,0,0,64350,1959921
HK,HONG KONG,1000,143666,119044,7248969
IN,INDIA,155950,14332401,1148450,94677557
ID,INDONESIA,48130,4130646,559358,45511759
IR,IRAN (ISLAMIC REPUBLIC OF),100,10565,100,10565
JP,JAPAN,80718,2297676,844207,21208283
KR,"KOREA,REPUBLIC OF",18050,2007838,25050,2679300
KW,KUWAIT,0,0,0,1210
LA,LAO PDR,56000,2590000,117010,5649702
LR,LIBERIA,48000,1677488,576000,18876112
MY,MALAYSIA,105203,7677526,508738,34148712
ML,MALI,0,0,16000,555605
MM,MYANMAR,0,0,8500,698990
nan,NAMIBIA,24000,675196,24000,675196
NL,NETHERLANDS,4800,567177,160800,4640504
PK,PAKISTAN,0,0,18125,1797923
PH,PHILIPPINES,36975,3478902,84149,7790316
SG,SINGAPORE,13,27849,24774,1185667
ZA,SOUTH AFRICA,0,0,64000,3792540
LK,SRI LANKA,510,395583,73010,2482509
TW,"TAIWAN, PROVINCE OF CHINA",17000,1390775,247536,27430999
TZ,TANZANIA UNITED REPUBLIC OF,0,0,16200,472327
TR,TÜRKIYE,0,0,850,135561
UG,UGANDA,0,0,46,22894
AE,UNITED ARAB EMIRATES,0,0,1100,181148
GB,UNITED KINGDOM,2,244,2,244
US,UNITED STATES,20775,1715701,28775,2452123
UY,URUGUAY,16000,1531445,16000,1531445
VN,VIETNAM,0,0,12579,2139950
SUM,SUM,1081726,82497725,7285155,523707052
