"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2020', 'Quantity')","('Jan 2020', 'FOB (Baht)')","('Jan - Jan 2020', 'Quantity')","('Jan - Jan 2020', 'FOB (Baht)')"
BD,BANGLADESH,306000,13244397,306000,13244397
CN,CHINA,9967725,455388751,9967725,455388751
IN,INDIA,1806000,79371909,1806000,79371909
ID,INDONESIA,67000,3020881,67000,3020881
JP,JAPAN,1850,329975,1850,329975
MY,MALAYSIA,21000,1224565,21000,1224565
PK,PAKISTAN,17000,746277,17000,746277
SG,SINGAPORE,200,7184,200,7184
VN,VIETNAM,108000,5017688,108000,5017688
SUM,SUM,12294775,558351627,12294775,558351627
