"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2014', 'Quantity')","('Apr 2014', 'FOB (Baht)')","('Jan - Apr 2014', 'Quantity')","('Jan - Apr 2014', 'FOB (Baht)')"
BD,BANGLADESH,12000,1482728,12000,1482728
CN,CHINA,32300,3034531,213893,19570997
EG,EGYPT,3000,222308,3000,222308
IN,INDIA,281385,23063352,1208638,102325493
ID,INDONESIA,83575,7736881,274425,24221712
KR,"KOREA,REPUBLIC OF",15000,1530747,15000,1530747
MY,MALAYSIA,50185,5115148,203610,22688451
PH,PHILIPPINES,10000,436630,12510,911846
TW,"TAIWAN, PROVINCE OF CHINA",0,0,10000,870538
US,UNITED STATES,36000,2989308,90000,7884104
VN,VIETNAM,4000,600299,53300,5404464
SUM,SUM,527445,46211932,2096376,187113388
