"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2021', 'Quantity')","('May 2021', 'FOB (Baht)')","('Jan - May 2021', 'Quantity')","('Jan - May 2021', 'FOB (Baht)')"
BH,BAHRAIN,0,0,102000,3747035
CA,CANADA,0,0,24000,919200
CN,CHINA,0,0,216250,5736626
IN,INDIA,82,50472,268,163774
MY,MALAYSIA,0,0,25600,763034
MM,MYANMAR,0,0,36000,954478
NZ,NEW ZEALAND,0,0,48450,2159808
ZA,SOUTH AFRICA,144000,6614880,326000,11910280
TW,"TAIWAN, PROVINCE OF CHINA",0,0,51000,1904579
AE,UNITED ARAB EMIRATES,0,0,51000,1829512
SUM,SUM,144082,6665352,880568,30088326
