"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2018', 'Quantity')","('May 2018', 'FOB (Baht)')","('Jan - May 2018', 'Quantity')","('Jan - May 2018', 'FOB (Baht)')"
CN,CHINA,1,31,54,1590
DK,DENMARK,0,0,0,31
DE,GERMANY,45,796,45,796
HK,HONG KONG,0,0,37,9851
ID,INDONESIA,19950,1014211,106700,5273305
JP,JAPAN,13500,695485,13500,695485
LA,LAO PDR,9300,441751,16120,764821
MM,MYANMAR,0,0,50,12500
PK,PAKISTAN,9750,493702,57350,2881508
PH,PHILIPPINES,0,0,11000,583040
SG,SINGAPORE,0,0,3990,199006
TW,"TAIWAN, PROVINCE OF CHINA",0,0,27000,1480071
GB,UNITED KINGDOM,0,0,20,158
VN,VIETNAM,0,0,704,146551
SUM,SUM,52546,2645976,236570,12048713
