"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2021', 'Quantity')","('Nov 2021', 'FOB (Baht)')","('Jan - Nov 2021', 'Quantity')","('Jan - Nov 2021', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,787,98130
KH,CAMBODIA,0,0,100,10285
CN,CHINA,2295439,20955911,15277178,128089971
DJ,DJIBOUTI,0,0,357377,2802418
DO,DOMINICAN REPUBLIC,0,0,71850,2385048
ET,ETHIOPIA,0,0,99200,785285
DE,GERMANY,0,0,30,1408
HK,HONG KONG,14,65727,55314,515517
IN,INDIA,104500,4507974,962873,27422443
JP,JAPAN,248,49153,252,49788
KR,"KOREA,REPUBLIC OF",0,0,336464,2658991
LA,LAO PDR,125,40476,944,511638
MY,MALAYSIA,0,0,1000,120941
MX,MEXICO,0,0,100,7385
NC,NEW CALEDONIA,0,0,460,38400
PH,PHILIPPINES,0,0,0,61
SN,SENEGAL,0,0,145,825
SG,SINGAPORE,0,0,2400,145282
LK,SRI LANKA,0,0,8000,591182
CH,SWITZERLAND,0,0,0,54
TW,"TAIWAN, PROVINCE OF CHINA",0,0,24009,274015
TZ,TANZANIA UNITED REPUBLIC OF,0,0,12000,659014
VN,VIETNAM,14000,672745,97315,3490429
SUM,SUM,2414326,26291986,17307798,170658510
