"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2016', 'Quantity')","('Apr 2016', 'FOB (Baht)')","('Jan - Apr 2016', 'Quantity')","('Jan - Apr 2016', 'FOB (Baht)')"
KH,CAMBODIA,15000,879255,313075,17208766
CN,CHINA,80000,4823050,140000,8176941
DE,GERMANY,0,0,200,11029
IN,INDIA,84288,2471522,100698,3079395
LA,LAO PDR,0,0,20500,250700
MY,MALAYSIA,56272,3312692,144512,8674098
PH,PHILIPPINES,0,0,15617,912869
SK,SLOVAKIA,0,0,97500,4160784
SE,SWEDEN,0,0,13000,555309
VN,VIETNAM,24140,626732,37585,1004624
SUM,SUM,259700,12113251,882687,44034515
