"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2018', 'Quantity')","('Jan 2018', 'FOB (Baht)')","('Jan - Jan 2018', 'Quantity')","('Jan - Jan 2018', 'FOB (Baht)')"
AO,ANGOLA,18000,701158,18000,701158
AU,AUSTRALIA,1111000,45300529,1111000,45300529
BD,BANGLADESH,169000,7142089,169000,7142089
BE,BELGIUM,207500,7992456,207500,7992456
BR,BRAZIL,14200,697346,14200,697346
BN,BRUNEI DARUSSALAM,3500,147499,3500,147499
KH,CAMBODIA,601525,28204615,601525,28204615
CA,CANADA,247750,12430746,247750,12430746
CN,CHINA,14290050,594716243,14290050,594716243
CI,COTE D IVOIRE,73500,3366789,73500,3366789
CU,CUBA,12000,687210,12000,687210
DJ,DJIBOUTI,175000,7223059,175000,7223059
FJ,FIJI,107500,5332712,107500,5332712
PF,FRENCH POLYNESIA,31500,1375535,31500,1375535
DE,GERMANY,355825,17423968,355825,17423968
GH,GHANA,663000,25338083,663000,25338083
IN,INDIA,447500,19502883,447500,19502883
ID,INDONESIA,3031400,124162203,3031400,124162203
IL,ISRAEL,1949325,82830377,1949325,82830377
JP,JAPAN,1790250,72461546,1790250,72461546
KZ,KAZAKHSTAN,67000,2772332,67000,2772332
KE,KENYA,56775,2932113,56775,2932113
LA,LAO PDR,76195,2672864,76195,2672864
MG,MADAGASCAR,13500,629892,13500,629892
MY,MALAYSIA,2716000,110656423,2716000,110656423
ML,MALI,54000,2576754,54000,2576754
MU,MAURITIUS,135700,6695526,135700,6695526
MX,MEXICO,2000,237144,2000,237144
MZ,MOZAMBIQUE,50150,2278080,50150,2278080
MM,MYANMAR,92825,4505022,92825,4505022
NL,NETHERLANDS,68000,3158882,68000,3158882
NC,NEW CALEDONIA,31750,1367258,31750,1367258
NZ,NEW ZEALAND,719700,32989359,719700,32989359
PK,PAKISTAN,4000,429018,4000,429018
PG,PAPUA NEW GUINEA,28400,1530341,28400,1530341
PH,PHILIPPINES,701500,28818204,701500,28818204
PL,POLAND,70000,3107297,70000,3107297
QA,QATAR,25500,1160794,25500,1160794
RE,REUNION,27000,1287542,27000,1287542
RU,RUSSIAN FEDERATION,456750,20431937,456750,20431937
SN,SENEGAL,13500,657822,13500,657822
SL,SIERRA LEONE,13500,654738,13500,654738
SG,SINGAPORE,60750,2485791,60750,2485791
ZA,SOUTH AFRICA,716000,28847573,716000,28847573
LK,SRI LANKA,85000,3308341,85000,3308341
SE,SWEDEN,10375,537145,10375,537145
SY,SYRIAN ARAB REPUBLIC,102000,4488318,102000,4488318
TW,"TAIWAN, PROVINCE OF CHINA",75500,4404991,75500,4404991
TR,TÜRKIYE,40400,2088278,40400,2088278
UA,UKRAINE,66000,2729223,66000,2729223
AE,UNITED ARAB EMIRATES,183250,7473431,183250,7473431
US,UNITED STATES,3200,140232,3200,140232
VN,VIETNAM,4295500,169930747,4295500,169930747
SUM,SUM,36361045,1515020458,36361045,1515020458
