"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2019', 'Quantity')","('Sept 2019', 'FOB (Baht)')","('Jan - Sept 2019', 'Quantity')","('Jan - Sept 2019', 'FOB (Baht)')"
AU,AUSTRALIA,48000,6648072,150800,21202069
BD,BANGLADESH,0,0,1000,54553
CN,CHINA,964687,14305896,5336128,113936173
IN,INDIA,0,0,32525,1265986
ID,INDONESIA,0,0,7160,518468
JP,JAPAN,89600,3564468,1118610,46796194
KR,"KOREA,REPUBLIC OF",0,0,275,25679
LA,LAO PDR,7475,291119,49125,2051037
MY,MALAYSIA,0,0,1500,142343
PK,PAKISTAN,0,0,200,73321
TW,"TAIWAN, PROVINCE OF CHINA",3000,325011,3000,325011
VN,VIETNAM,0,0,2200,199804
SUM,SUM,1112762,25134566,6702523,186590638
