"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2012', 'Quantity')","('Mar 2012', 'FOB (Baht)')","('Jan - Mar 2012', 'Quantity')","('Jan - Mar 2012', 'FOB (Baht)')"
CN,CHINA,2500,277469,4360,420896
ET,ETHIOPIA,0,0,32000,884457
HK,HONG KONG,0,0,2060,124562
IN,INDIA,59400,3126258,59900,3186211
ID,INDONESIA,60,19736,100,30612
JP,JAPAN,19800,1406879,20400,1689001
KR,"KOREA,REPUBLIC OF",19800,1177874,19800,1177874
MY,MALAYSIA,0,0,40,11520
NZ,NEW ZEALAND,750,93239,750,93239
PH,PHILIPPINES,49500,1989586,173250,7118759
TW,"TAIWAN, PROVINCE OF CHINA",0,0,24000,611609
US,UNITED STATES,0,0,0,31
SUM,SUM,151810,8091041,336660,15348771
