"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2014', 'Quantity')","('Dec 2014', 'FOB (Baht)')","('Jan - Dec 2014', 'Quantity')","('Jan - Dec 2014', 'FOB (Baht)')"
AU,AUSTRALIA,72000,4435451,98400,6066849
BD,BANGLADESH,0,0,2500,155026
BN,BRUNEI DARUSSALAM,0,0,16000,882125
KH,CAMBODIA,0,0,2000,137228
CN,CHINA,2,32,702,24373
DE,GERMANY,0,0,1,160
HK,HONG KONG,0,0,2794,213208
IN,INDIA,2000,130257,14049,976393
ID,INDONESIA,288000,16384840,4367700,230316638
JP,JAPAN,24000,1856197,51385,5034293
KR,"KOREA,REPUBLIC OF",0,0,24100,1353445
MY,MALAYSIA,12000,1033533,92100,7733456
PH,PHILIPPINES,0,0,30,1925
SG,SINGAPORE,0,0,2,80
TW,"TAIWAN, PROVINCE OF CHINA",0,0,2850,122531
US,UNITED STATES,0,0,2005,288167
VN,VIETNAM,34000,986698,175650,4884083
SUM,SUM,432002,24827008,4852268,258189980
