"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2020', 'Quantity')","('Feb 2020', 'FOB (Baht)')","('Jan - Feb 2020', 'Quantity')","('Jan - Feb 2020', 'FOB (Baht)')"
BD,BANGLADESH,102000,4446242,408000,17690639
CN,CHINA,9073000,421435336,19040725,876824087
IN,INDIA,2378025,105341091,4184025,184713000
ID,INDONESIA,98160,4648306,165160,7669187
JP,JAPAN,12000,667177,13850,997152
MY,MALAYSIA,1000,55473,22000,1280038
PK,PAKISTAN,32000,1476050,49000,2222327
PH,PHILIPPINES,3060,195912,3060,195912
SG,SINGAPORE,0,0,200,7184
LK,SRI LANKA,75,2994,75,2994
US,UNITED STATES,34000,1537553,34000,1537553
VN,VIETNAM,29016,1659339,137016,6677027
SUM,SUM,11762336,541465473,24057111,1099817100
