"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2016', 'Quantity')","('Oct 2016', 'FOB (Baht)')","('Jan - Oct 2016', 'Quantity')","('Jan - Oct 2016', 'FOB (Baht)')"
CN,CHINA,16000,881951,121000,5398280
HK,HONG KONG,0,0,9325,535585
IN,INDIA,0,0,5150,397815
ID,INDONESIA,44000,6664202,237900,34364370
JP,JAPAN,0,0,1325,119596
LA,LAO PDR,14500,641750,188500,8522375
PK,PAKISTAN,0,0,4475,251483
PH,PHILIPPINES,0,0,116000,6269184
US,UNITED STATES,0,0,100,12940
VN,VIETNAM,76000,3768965,444000,21568701
SUM,SUM,150500,11956868,1127775,77440329
