"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2017', 'Quantity')","('Dec 2017', 'FOB (Baht)')","('Jan - Dec 2017', 'Quantity')","('Jan - Dec 2017', 'FOB (Baht)')"
AU,AUSTRALIA,68200,3320509,4431156,226079661
BD,BANGLADESH,25,3499,272575,13227336
BE,BELGIUM,0,0,245800,15502877
BT,BHUTAN,0,0,313500,14804658
KH,CAMBODIA,0,0,20000,258247
CN,CHINA,8807120,227835638,110750912,5159185015
DJ,DJIBOUTI,0,0,100,16041
FJ,FIJI,25,3499,25775,1217385
DE,GERMANY,0,0,2000,132987
GH,GHANA,0,0,17500,620854
HK,HONG KONG,26500,603811,592350,20324184
IN,INDIA,874800,26179838,19765991,814845969
ID,INDONESIA,76700,3376182,17946080,870894072
IR,IRAN (ISLAMIC REPUBLIC OF),0,0,72000,5343738
IE,IRELAND,0,0,750,70703
IT,ITALY,0,0,50,9487
JP,JAPAN,242808,10625344,21334525,1132445744
KE,KENYA,0,0,33000,1023638
KR,"KOREA,REPUBLIC OF",25,150,3127155,195371980
LA,LAO PDR,930,170497,1432,382598
MY,MALAYSIA,15900,1659275,3980572,213904404
MU,MAURITIUS,0,0,1000,144959
MX,MEXICO,0,0,25,1650
MZ,MOZAMBIQUE,0,0,300,21017
MM,MYANMAR,22793,1066230,2539081,46529287
NP,NEPAL,0,0,53350,2910755
NL,NETHERLANDS,0,0,3,3583
NZ,NEW ZEALAND,6875,424217,2041380,105424648
NO,NORWAY,0,0,1000,34793
PK,PAKISTAN,23375,968293,301975,14472629
PG,PAPUA NEW GUINEA,0,0,150,25835
PH,PHILIPPINES,34750,1826186,2691300,122411514
RU,RUSSIAN FEDERATION,0,0,350,64865
SA,SAUDI ARABIA,0,0,19200,1790925
SG,SINGAPORE,15550,967743,617733,40088697
SI,SLOVENIA,0,0,100,820
ZA,SOUTH AFRICA,0,0,500,78084
LK,SRI LANKA,0,0,388875,18433840
CH,SWITZERLAND,0,0,50,1695
TW,"TAIWAN, PROVINCE OF CHINA",72100,2976221,3949725,192242953
TR,TÜRKIYE,4100,691600,15100,2746861
UA,UKRAINE,0,0,25,822
AE,UNITED ARAB EMIRATES,0,0,3500,555127
GB,UNITED KINGDOM,0,0,5025,3444
US,UNITED STATES,3088,12173,43419,2495242
VN,VIETNAM,22550,2979292,3476493,242042650
SUM,SUM,10318214,285690197,199082882,9478188273
