"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2020', 'Quantity')","('Jul 2020', 'FOB (Baht)')","('Jan - Jul 2020', 'Quantity')","('Jan - Jul 2020', 'FOB (Baht)')"
AU,AUSTRALIA,941780,34281694,5469930,200495444
BD,BANGLADESH,0,0,199900,7194147
BE,BELGIUM,0,0,45000,2516053
KH,CAMBODIA,0,0,49500,1035200
CN,CHINA,46373204,1871013484,283703342,11273102416
DJ,DJIBOUTI,0,0,49500,1603949
FJ,FIJI,0,0,28000,884089
PF,FRENCH POLYNESIA,0,0,8000,259400
GH,GHANA,0,0,49500,1335598
HK,HONG KONG,10000,512085,216135,8284641
IN,INDIA,853650,37160047,5303950,232082930
ID,INDONESIA,6069140,198614191,40819995,1376249194
JP,JAPAN,3481650,114468627,39371700,1436411596
KR,"KOREA,REPUBLIC OF",126500,6865321,2873890,135132173
MY,MALAYSIA,553190,21616761,4185400,155221784
MU,MAURITIUS,42000,1172763,42000,1172763
MM,MYANMAR,120000,3362348,288200,6985760
NZ,NEW ZEALAND,467520,17555140,3064800,113762279
PK,PAKISTAN,17900,905490,157300,6191785
PH,PHILIPPINES,963475,30104902,6574300,197859147
PT,PORTUGAL,125000,2887575,225000,5175606
RE,REUNION,3000,87264,3000,87264
SG,SINGAPORE,116000,4078258,1770800,84620925
LK,SRI LANKA,0,0,273000,9408907
TW,"TAIWAN, PROVINCE OF CHINA",670900,22841491,5012675,183986943
AE,UNITED ARAB EMIRATES,0,0,16500,517148
US,UNITED STATES,58000,3646261,408550,30435718
VN,VIETNAM,932950,36023388,4525175,192855252
SUM,SUM,61925859,2407197090,404735042,15664868111
