"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2015', 'Quantity')","('Oct 2015', 'FOB (Baht)')","('Jan - Oct 2015', 'Quantity')","('Jan - Oct 2015', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,30000,379432
KH,CAMBODIA,0,0,40000,1990853
CN,CHINA,4525,280279,48525,3396483
DE,GERMANY,0,0,1100,48159
HK,HONG KONG,0,0,2375,191050
IN,INDIA,0,0,160,5659
ID,INDONESIA,46800,3270045,86975,6386162
JP,JAPAN,0,0,1250,88414
LA,LAO PDR,14000,641250,41000,1875250
PK,PAKISTAN,0,0,11750,1066471
PH,PHILIPPINES,15000,747878,94000,5224763
TW,"TAIWAN, PROVINCE OF CHINA",0,0,402,23113
VN,VIETNAM,36000,1774706,156000,8399147
SUM,SUM,116325,6714158,513537,29074956
