"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2016', 'Quantity')","('Sept 2016', 'FOB (Baht)')","('Jan - Sept 2016', 'Quantity')","('Jan - Sept 2016', 'FOB (Baht)')"
AU,AUSTRALIA,23000,1808883,176000,14632481
BD,BANGLADESH,1600,154505,2675,256442
CN,CHINA,41025,3454715,679180,55628225
EG,EGYPT,113000,5886049,609000,32260115
FI,FINLAND,0,0,4,971
GA,GABON,49500,1446290,49500,1446290
GH,GHANA,0,0,129250,3179616
HK,HONG KONG,0,0,6425,538359
IN,INDIA,645522,50428841,3424446,292505574
ID,INDONESIA,306690,24005622,2710912,215464751
IT,ITALY,0,0,1000,109331
JP,JAPAN,445,60224,98627,10416332
KE,KENYA,0,0,24000,815931
KR,"KOREA,REPUBLIC OF",0,0,61595,4784946
LA,LAO PDR,400,13500,400,13500
LU,LUXEMBOURG,90,4640,90,4640
MG,MADAGASCAR,0,0,98275,2839336
MW,MALAWI,0,0,54000,1408111
MY,MALAYSIA,90425,6521946,801077,57970036
MM,MYANMAR,0,0,2000,173200
NZ,NEW ZEALAND,450,100544,1000,300700
PK,PAKISTAN,12000,959963,28000,2335659
PH,PHILIPPINES,11010,1127413,64507,9049120
SA,SAUDI ARABIA,0,0,351500,24672444
SG,SINGAPORE,25,859,375,4748
ZA,SOUTH AFRICA,38904,2029446,175508,10518139
LK,SRI LANKA,32000,877914,48000,1292678
TW,"TAIWAN, PROVINCE OF CHINA",27648,2860056,306540,33924066
TR,TÜRKIYE,0,0,19,174731
AE,UNITED ARAB EMIRATES,96000,6720767,480000,32097954
US,UNITED STATES,18000,1168375,157441,11161999
VN,VIETNAM,129235,7038845,1088142,59883971
SUM,SUM,1636969,116669397,11629488,879864396
