"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2019', 'Quantity')","('Dec 2019', 'FOB (Baht)')","('Jan - Dec 2019', 'Quantity')","('Jan - Dec 2019', 'FOB (Baht)')"
CN,CHINA,820880,11087872,3017754,53074082
DE,GERMANY,0,0,126,12348
HK,HONG KONG,0,0,6,14976
ID,INDONESIA,0,0,5,2919
JP,JAPAN,0,0,1,31
LA,LAO PDR,5000,144702,70300,2489958
NZ,NEW ZEALAND,0,0,33,14386
SG,SINGAPORE,0,0,2202,122166
ES,SPAIN,0,0,200,17205
TR,TÜRKIYE,14,300,14,300
AE,UNITED ARAB EMIRATES,0,0,2,123
US,UNITED STATES,0,0,254,42859
VN,VIETNAM,0,0,403,45280
SUM,SUM,825894,11232874,3091300,55836633
