"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2014', 'Quantity')","('Aug 2014', 'FOB (Baht)')","('Jan - Aug 2014', 'Quantity')","('Jan - Aug 2014', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,27000,673278
KH,CAMBODIA,60000,3158445,399975,20187714
CN,CHINA,0,0,40000,3007199
HK,HONG KONG,0,0,160,21861
IN,INDIA,32000,958266,120000,3848897
ID,INDONESIA,17000,1092786,93050,5724698
JP,JAPAN,51,47,65401,3596727
MY,MALAYSIA,22060,1184876,59078,3901253
MM,MYANMAR,0,0,49500,1737379
NZ,NEW ZEALAND,0,0,36000,1216383
PK,PAKISTAN,0,0,15000,653657
PH,PHILIPPINES,0,0,1004,79260
SE,SWEDEN,26000,1341239,26000,1341239
US,UNITED STATES,0,0,1600,82789
SUM,SUM,157111,7735659,933768,46072334
