"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2022', 'Quantity')","('Jun 2022', 'FOB (Baht)')","('Jan - Jun 2022', 'Quantity')","('Jan - Jun 2022', 'FOB (Baht)')"
HK,HONG KONG,16,37729,114,140159
SG,SINGAPORE,0,0,320,484548
SUM,SUM,16,37729,434,624707
