"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2017', 'Quantity')","('Feb 2017', 'FOB (Baht)')","('Jan - Feb 2017', 'Quantity')","('Jan - Feb 2017', 'FOB (Baht)')"
DZ,ALGERIA,17000,703951,17000,703951
AR,ARGENTINA,220650,16788204,308650,23724988
AU,AUSTRALIA,396545,17085439,1174235,50881586
BD,BANGLADESH,795280,35708330,1872530,83018716
BE,BELGIUM,166000,12675052,166000,12675052
BR,BRAZIL,64000,3915514,112000,6037247
KH,CAMBODIA,345410,13398351,637910,25270861
CN,CHINA,8086350,325386530,20007175,812375960
CO,COLOMBIA,0,0,17000,695480
CD,"CONGO, THE DEMOCRATIC REPUBLIC OF THE",24000,1118779,24000,1118779
DJ,DJIBOUTI,247500,9143347,280500,10368236
EG,EGYPT,0,0,80,2851
ET,ETHIOPIA,0,0,100,4634
PF,FRENCH POLYNESIA,30000,1209228,30000,1209228
HK,HONG KONG,1823537,75074147,3534587,145925480
IN,INDIA,1154250,44016940,1927975,75282932
ID,INDONESIA,9795125,405758292,21191545,871207907
IL,ISRAEL,72050,3261296,72050,3261296
JP,JAPAN,761242,33512187,1339992,59949523
KE,KENYA,0,0,51000,2326032
KR,"KOREA,REPUBLIC OF",36750,2790855,53100,4445623
LA,LAO PDR,120000,5108860,185000,7876487
MG,MADAGASCAR,165000,4311162,462000,12203496
MY,MALAYSIA,1327313,56249066,2445846,104921149
MU,MAURITIUS,0,0,115500,5091273
MX,MEXICO,5000,272168,17000,718078
MZ,MOZAMBIQUE,0,0,65000,2153891
MM,MYANMAR,580000,22440179,667000,25945968
NZ,NEW ZEALAND,67000,2243933,113175,3939763
OM,OMAN,34000,1389244,85000,3480234
PK,PAKISTAN,352450,16376233,488050,23677793
PH,PHILIPPINES,1497025,62818116,3777000,156939561
PT,PORTUGAL,6500,285088,6500,285088
RU,RUSSIAN FEDERATION,25,1156,25,1156
SG,SINGAPORE,113501,4672649,173001,7159656
ZA,SOUTH AFRICA,112575,7826215,261875,18618552
LK,SRI LANKA,168400,9561659,319300,18680655
TW,"TAIWAN, PROVINCE OF CHINA",24500,1057264,72335,4396055
TZ,TANZANIA UNITED REPUBLIC OF,0,0,24000,1054918
AE,UNITED ARAB EMIRATES,214500,9007799,330000,14242619
US,UNITED STATES,40255,1834596,110405,4778535
VN,VIETNAM,1837250,79368091,3901350,166954369
SUM,SUM,30700983,1286369920,66436791,2773605658
