"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2018', 'Quantity')","('May 2018', 'FOB (Baht)')","('Jan - May 2018', 'Quantity')","('Jan - May 2018', 'FOB (Baht)')"
HK,HONG KONG,0,0,223,20309
IN,INDIA,650,29056,1300,59713
ID,INDONESIA,0,0,500,8990
JP,JAPAN,0,0,150,4273
PH,PHILIPPINES,47200,2605214,196000,10858476
SUM,SUM,47850,2634270,198173,10951761
