"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2013', 'Quantity')","('May 2013', 'FOB (Baht)')","('Jan - May 2013', 'Quantity')","('Jan - May 2013', 'FOB (Baht)')"
JP,JAPAN,0,0,12000,710281
VN,VIETNAM,0,0,24000,1691453
SUM,SUM,0,0,36000,2401734
