"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2019', 'Quantity')","('Nov 2019', 'FOB (Baht)')","('Jan - Nov 2019', 'Quantity')","('Jan - Nov 2019', 'FOB (Baht)')"
CN,CHINA,716960,13588553,2196874,41986210
DE,GERMANY,0,0,126,12348
HK,HONG KONG,0,0,6,14976
ID,INDONESIA,0,0,5,2919
JP,JAPAN,0,0,1,31
LA,LAO PDR,11000,332164,65300,2345256
NZ,NEW ZEALAND,0,0,33,14386
SG,SINGAPORE,0,0,2202,122166
ES,SPAIN,70,4465,200,17205
AE,UNITED ARAB EMIRATES,0,0,2,123
US,UNITED STATES,200,39739,254,42859
VN,VIETNAM,0,0,403,45280
SUM,SUM,728230,13964921,2265406,44603759
