"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2017', 'Quantity')","('Nov 2017', 'FOB (Baht)')","('Jan - Nov 2017', 'Quantity')","('Jan - Nov 2017', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,3,13645
CN,CHINA,0,0,19,656
DE,GERMANY,0,0,1,131
HK,HONG KONG,45,2409,971,61047
ID,INDONESIA,0,0,189400,9919459
JP,JAPAN,2,65,182,3665
KR,"KOREA,REPUBLIC OF",0,164,0,164
LA,LAO PDR,0,0,19921,1017115
MM,MYANMAR,0,0,13000,539500
NO,NORWAY,0,0,50,2500
PK,PAKISTAN,5000,270699,83100,4441704
PH,PHILIPPINES,0,0,19825,1147285
SG,SINGAPORE,0,0,154,17296
TW,"TAIWAN, PROVINCE OF CHINA",5000,291763,39000,2257202
US,UNITED STATES,0,0,26,862
VN,VIETNAM,375,39759,531,41259
SUM,SUM,10422,604859,366183,19463490
