"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2017', 'Quantity')","('May 2017', 'FOB (Baht)')","('Jan - May 2017', 'Quantity')","('Jan - May 2017', 'FOB (Baht)')"
DZ,ALGERIA,0,0,16000,441670
AR,ARGENTINA,2100,168768,2100,168768
AU,AUSTRALIA,50250,1493623,237500,10075672
BR,BRAZIL,47400,3699309,263400,21004431
CN,CHINA,134770,11855570,546536,48798556
EG,EGYPT,0,0,1300,64461
GH,GHANA,0,0,130000,3153152
HT,HAITI,54000,1817813,54000,1817813
HK,HONG KONG,50,3197,10050,961817
IN,INDIA,503940,43677444,2500638,213182568
ID,INDONESIA,316475,25624874,1436482,118118969
JP,JAPAN,150,10230,8981,895242
KR,"KOREA,REPUBLIC OF",0,0,27610,2633912
LA,LAO PDR,280,112000,280,112000
MG,MADAGASCAR,0,0,33000,960022
MY,MALAYSIA,44150,4515937,226225,22042873
MM,MYANMAR,0,0,5500,678007
NZ,NEW ZEALAND,0,0,250,44152
PK,PAKISTAN,10000,789634,10000,789634
PH,PHILIPPINES,22344,2359328,94205,9799304
RU,RUSSIAN FEDERATION,0,0,1984,413325
SG,SINGAPORE,0,0,25650,1229572
ZA,SOUTH AFRICA,2500,202962,28100,1808234
CH,SWITZERLAND,0,0,96,849
TW,"TAIWAN, PROVINCE OF CHINA",22600,2211122,142620,13814400
AE,UNITED ARAB EMIRATES,60000,1398153,156000,5134210
US,UNITED STATES,0,0,50300,3107394
VN,VIETNAM,91932,4906657,373683,28090092
SUM,SUM,1362941,104846621,6382490,509341099
