"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2016', 'Quantity')","('Dec 2016', 'FOB (Baht)')","('Jan - Dec 2016', 'Quantity')","('Jan - Dec 2016', 'FOB (Baht)')"
AS,AMERICAN SAMOA,0,0,14200,844941
AO,ANGOLA,0,0,209050,9679716
AR,ARGENTINA,0,0,108000,4127127
AU,AUSTRALIA,490500,21966009,8928300,399403822
BH,BAHRAIN,0,0,268800,12100967
BD,BANGLADESH,557000,23955774,3946500,179372572
BE,BELGIUM,0,0,1726000,75595862
BR,BRAZIL,90000,3650262,497000,20517035
BN,BRUNEI DARUSSALAM,0,0,17000,716536
KH,CAMBODIA,402000,19725873,5255299,254919667
CM,CAMEROON,0,0,558000,21911874
CA,CANADA,152700,8269027,844200,45355267
CV,CAPE VERDE,0,0,54000,2621871
CL,CHILE,0,0,598500,25089829
CN,CHINA,19132895,856768885,105185920,4742084777
CO,COLOMBIA,36000,1500272,270000,11156928
CG,CONGO,0,0,41975,2396641
CI,COTE D IVOIRE,0,0,2088050,82054159
DK,DENMARK,0,0,34000,1456030
DJ,DJIBOUTI,108000,4566352,1080000,45999142
EC,ECUADOR,36000,1509773,305000,12474536
EG,EGYPT,54000,2264149,100500,4303849
FJ,FIJI,30675,1556609,515150,27175203
FI,FINLAND,0,0,1375,62847
FR,FRANCE,43200,2504078,472200,24402136
PF,FRENCH POLYNESIA,36500,1809803,189400,9463404
GA,GABON,18000,742032,206600,8475593
GM,GAMBIA,0,0,85400,3954068
DE,GERMANY,252000,12698654,3964325,203374035
GH,GHANA,360000,14910407,4763100,188321089
GR,GREECE,0,0,240600,12644714
GN,GUINEA,0,0,154975,9184049
HK,HONG KONG,0,0,17500,790677
IN,INDIA,170575,8206939,4134350,196301563
ID,INDONESIA,2233500,98137080,39046755,1669891453
IL,ISRAEL,1588000,71058041,9861500,465205897
JP,JAPAN,1276875,55734087,22320225,926349693
KZ,KAZAKHSTAN,54000,2226096,628000,26837491
KE,KENYA,56800,3214626,1135825,56598135
KR,"KOREA,REPUBLIC OF",20000,2406531,326400,39001327
LA,LAO PDR,22000,961451,485156,20968687
LV,LATVIA,0,0,79325,3914722
LY,LIBYAN ARAB JAMAHIRIYA,0,0,12000,738886
MG,MADAGASCAR,27500,1386461,231300,11972982
MY,MALAYSIA,1421875,62741564,14230900,614654139
MV,MALDIVES,0,0,32000,1376084
ML,MALI,0,0,162000,8081260
MT,MALTA,0,0,17500,720155
MU,MAURITIUS,14200,872184,1001475,53026764
YT,MAYOTTE,0,0,13500,706912
MZ,MOZAMBIQUE,60500,2616546,1107500,47272653
MM,MYANMAR,235150,11180257,2551250,111624630
NL,NETHERLANDS,22000,1073546,268000,13862687
NC,NEW CALEDONIA,49500,2275248,301700,14601003
NZ,NEW ZEALAND,672550,35654994,4184350,194101744
NG,NIGERIA,0,0,2518000,63358458
OM,OMAN,0,0,1408000,62363124
PK,PAKISTAN,0,0,206300,12357551
PG,PAPUA NEW GUINEA,53600,2973342,329600,15674606
PE,PERU,0,0,450000,18601279
PH,PHILIPPINES,565000,24853634,3700700,165074265
PL,POLAND,22500,1092057,512500,23576589
PT,PORTUGAL,0,0,114500,5123784
QA,QATAR,0,0,139575,8335025
RE,REUNION,13500,731139,378000,19391067
RO,ROMANIA,0,0,103000,4421490
RU,RUSSIAN FEDERATION,3000,105678,2979725,128350092
SN,SENEGAL,85500,3577680,546725,26144712
SC,SEYCHELLES,0,0,10000,780714
SL,SIERRA LEONE,54000,2730298,405000,18918109
SG,SINGAPORE,95050,4405588,899225,39413288
SK,SLOVAKIA,0,0,48750,2080392
SI,SLOVENIA,0,0,457500,18573109
SO,SOMALIA,14200,834059,22206,1666275
ZA,SOUTH AFRICA,348000,14810692,3384225,142527885
ES,SPAIN,0,0,146250,6477158
LK,SRI LANKA,39000,1878749,1034525,47339945
SD,SUDAN,0,0,40500,1998745
SE,SWEDEN,0,0,116950,6905016
CH,SWITZERLAND,0,0,200,8319
TW,"TAIWAN, PROVINCE OF CHINA",24750,1145618,523775,27953492
TZ,TANZANIA UNITED REPUBLIC OF,0,0,95900,4271461
TG,TOGO,0,0,2934000,114759199
TR,TÜRKIYE,26200,1395828,853575,45188507
UA,UKRAINE,95600,4622582,855575,39322881
AE,UNITED ARAB EMIRATES,265900,11770106,2801900,127422808
GB,UNITED KINGDOM,0,0,83000,3590727
US,UNITED STATES,0,0,16550,741154
UY,URUGUAY,0,0,22000,931816
VN,VIETNAM,1722050,79792037,19931625,908375319
YE,YEMEN,0,0,35300,1665441
SUM,SUM,33152345,1494862697,292977086,13033523632
