"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2014', 'Quantity')","('Feb 2014', 'FOB (Baht)')","('Jan - Feb 2014', 'Quantity')","('Jan - Feb 2014', 'FOB (Baht)')"
AU,AUSTRALIA,44320,4555453,62240,6850226
CN,CHINA,65800,5294695,254125,16717820
IN,INDIA,100625,8515905,171450,16983502
ID,INDONESIA,32800,2898091,51325,4757699
JP,JAPAN,0,0,160,22197
KR,"KOREA,REPUBLIC OF",129,13003,129,13003
LA,LAO PDR,0,0,2000,105747
MY,MALAYSIA,8500,710711,22025,1829535
MM,MYANMAR,10100,316645,20100,595828
NZ,NEW ZEALAND,460,62471,460,62471
PH,PHILIPPINES,0,0,5700,562125
SG,SINGAPORE,0,0,240,27794
LK,SRI LANKA,2750,203609,2750,203609
VN,VIETNAM,0,0,6700,860985
SUM,SUM,265484,22570583,599404,49592541
