"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2014', 'Quantity')","('Nov 2014', 'FOB (Baht)')","('Jan - Nov 2014', 'Quantity')","('Jan - Nov 2014', 'FOB (Baht)')"
CN,CHINA,0,0,7675,386049
IN,INDIA,0,0,2050,157516
ID,INDONESIA,0,0,271666,20650069
JP,JAPAN,0,1794,2056,275583
MY,MALAYSIA,17000,1240568,185000,13235135
NL,NETHERLANDS,0,0,105,30770
ZA,SOUTH AFRICA,6000,440440,24775,2011965
LK,SRI LANKA,0,0,0,4770
TW,"TAIWAN, PROVINCE OF CHINA",0,0,500,3225
VN,VIETNAM,1000,188412,3695,995441
SUM,SUM,24000,1871214,497522,37750523
