"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2020', 'Quantity')","('Sept 2020', 'FOB (Baht)')","('Jan - Sept 2020', 'Quantity')","('Jan - Sept 2020', 'FOB (Baht)')"
AU,AUSTRALIA,15000,638050,75000,3293645
AT,AUSTRIA,200,12432,200,12432
BD,BANGLADESH,0,0,1575000,70707206
CN,CHINA,5064000,205291134,80730370,3062629016
IN,INDIA,2758000,116633058,13684050,585907159
ID,INDONESIA,35000,1566092,521256,24765321
JP,JAPAN,0,0,34152,5083785
MY,MALAYSIA,17000,710187,98832,7045930
MU,MAURITIUS,0,0,1000,42740
PK,PAKISTAN,37000,1777597,157000,7270401
PH,PHILIPPINES,100,7148,9160,575730
SG,SINGAPORE,0,0,12600,603771
LK,SRI LANKA,0,0,75,2994
TW,"TAIWAN, PROVINCE OF CHINA",0,0,34000,1335284
US,UNITED STATES,15000,652688,151000,6913019
UZ,UZBEKISTAN,0,0,96000,4575190
VN,VIETNAM,129775,6682445,817043,43857488
SUM,SUM,8071075,333970831,97996738,3824621111
