"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2012', 'Quantity')","('Jun 2012', 'FOB (Baht)')","('Jan - Jun 2012', 'Quantity')","('Jan - Jun 2012', 'FOB (Baht)')"
IN,INDIA,6000,550377,9000,800294
ID,INDONESIA,0,0,34750,3074573
SUM,SUM,6000,550377,43750,3874867
