"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2019', 'Quantity')","('Nov 2019', 'FOB (Baht)')","('Jan - Nov 2019', 'Quantity')","('Jan - Nov 2019', 'FOB (Baht)')"
AU,AUSTRALIA,30000,666538,313500,9526421
BD,BANGLADESH,33750,3052346,178850,15437248
BE,BELGIUM,144000,13781870,1714200,172623122
KH,CAMBODIA,27340,3905044,271090,42019562
CN,CHINA,647034,13951110,3277985,120941394
GA,GABON,65000,1521715,228500,4631805
DE,GERMANY,0,0,10,597
GH,GHANA,0,0,81250,2050462
GN,GUINEA,0,0,108000,2603664
HK,HONG KONG,0,0,10,78822
IN,INDIA,586775,42103792,6135304,439488440
ID,INDONESIA,117727,8499668,2514582,180203126
JP,JAPAN,58112,4741561,125069,9794668
KR,"KOREA,REPUBLIC OF",0,0,152982,11253621
LA,LAO PDR,187,38672,61967,3021320
MY,MALAYSIA,31600,3239455,412271,42513502
MU,MAURITIUS,0,0,115250,2862656
MM,MYANMAR,0,0,75711,1847251
NG,NIGERIA,0,0,8000,634019
PK,PAKISTAN,9500,1818404,61425,6099800
PH,PHILIPPINES,2000,138997,341353,25418104
SA,SAUDI ARABIA,104125,6586500,315125,20491207
SG,SINGAPORE,0,0,3000,892670
ZA,SOUTH AFRICA,0,0,126100,567341
LK,SRI LANKA,16000,333757,32254,740098
TW,"TAIWAN, PROVINCE OF CHINA",62900,7226874,587155,55246253
TG,TOGO,0,0,32500,782960
AE,UNITED ARAB EMIRATES,0,0,45004,1101099
US,UNITED STATES,38000,2075994,115425,6767471
VN,VIETNAM,9444,1194406,518262,31351310
SUM,SUM,1983494,114876703,17952134,1210990013
