"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2016', 'Quantity')","('Apr 2016', 'FOB (Baht)')","('Jan - Apr 2016', 'Quantity')","('Jan - Apr 2016', 'FOB (Baht)')"
AU,AUSTRALIA,24000,1301246,118250,6228854
BD,BANGLADESH,51000,2573322,2040000,98780801
BN,BRUNEI DARUSSALAM,300,1346,300,1346
KH,CAMBODIA,0,0,2640,195409
CN,CHINA,5948000,300108430,22304750,1090924879
IN,INDIA,1087000,53627545,6311000,306699943
ID,INDONESIA,211000,10808475,339000,17395439
JP,JAPAN,0,0,12000,687760
KR,"KOREA,REPUBLIC OF",0,0,51000,2502420
LA,LAO PDR,0,0,55,103864
MY,MALAYSIA,0,0,17250,878051
PK,PAKISTAN,16000,847355,67000,3351542
PH,PHILIPPINES,0,0,85875,4327720
SA,SAUDI ARABIA,0,0,24000,1265538
LK,SRI LANKA,0,0,136000,6702743
TW,"TAIWAN, PROVINCE OF CHINA",0,0,24000,1159325
US,UNITED STATES,57000,3048396,171000,9114217
VN,VIETNAM,246000,12423519,428000,21702707
SUM,SUM,7640300,384739634,32132120,1572022558
