"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2021', 'Quantity')","('Dec 2021', 'FOB (Baht)')","('Jan - Dec 2021', 'Quantity')","('Jan - Dec 2021', 'FOB (Baht)')"
CN,CHINA,0,0,348314,12396402
HK,HONG KONG,0,0,75550,3484001
IN,INDIA,120000,16121004,952225,115348273
ID,INDONESIA,12700,1022607,515125,30339775
KR,"KOREA,REPUBLIC OF",0,0,11000,1131130
MY,MALAYSIA,0,0,1100,149815
MX,MEXICO,24750,1516333,123750,7313092
PK,PAKISTAN,0,0,1450,77635
PH,PHILIPPINES,24,7317,229,65991
VN,VIETNAM,1000,58209,109150,5619385
SUM,SUM,158474,18725470,2137893,175925499
