"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2018', 'Quantity')","('Feb 2018', 'FOB (Baht)')","('Jan - Feb 2018', 'Quantity')","('Jan - Feb 2018', 'FOB (Baht)')"
AU,AUSTRALIA,69395,5307361,132695,10134775
AT,AUSTRIA,3,1237,78,31860
BD,BANGLADESH,1850,199619,22850,960165
CN,CHINA,10100313,193277319,18626262,348168815
FJ,FIJI,0,0,15600,715603
GE,GEORGIA,100,14041,100,14041
IN,INDIA,320050,11383068,675425,21676068
ID,INDONESIA,117775,5671359,167652,7729459
IR,IRAN (ISLAMIC REPUBLIC OF),0,0,3750,283795
IE,IRELAND,0,0,800,140563
IL,ISRAEL,500,83761,500,83761
JP,JAPAN,352251,15269060,497228,21555480
KR,"KOREA,REPUBLIC OF",200,5920,1465,23611
LA,LAO PDR,5700,284472,5700,284472
MY,MALAYSIA,45000,3038493,86875,5570738
MU,MAURITIUS,0,0,500,83511
MM,MYANMAR,12000,529198,12000,529198
NZ,NEW ZEALAND,24235,1803679,24235,1803679
RU,RUSSIAN FEDERATION,300,54998,300,54998
SG,SINGAPORE,0,0,459,28260
ES,SPAIN,7,63,7,63
TW,"TAIWAN, PROVINCE OF CHINA",84000,4165722,216025,10401870
TR,TÜRKIYE,0,0,12000,2049717
UA,UKRAINE,200,28448,200,28448
AE,UNITED ARAB EMIRATES,1000,145397,1000,145397
US,UNITED STATES,0,0,2,779
UY,URUGUAY,50,6258,50,6258
VN,VIETNAM,17875,1565644,89550,5709471
SUM,SUM,11152804,242835117,20593308,438214855
