"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2013', 'Quantity')","('Sept 2013', 'FOB (Baht)')","('Jan - Sept 2013', 'Quantity')","('Jan - Sept 2013', 'FOB (Baht)')"
AU,AUSTRALIA,200,6274,11500,256920
BD,BANGLADESH,0,0,17000,578323
KH,CAMBODIA,75000,3726945,1364475,60126549
CN,CHINA,0,0,207610,10726975
CZ,CZECH REPUBLIC,0,0,10400,839969
HK,HONG KONG,0,0,325,9628
IN,INDIA,0,0,19000,480931
ID,INDONESIA,17000,930048,218000,9093454
JP,JAPAN,0,0,2904,116200
KR,"KOREA,REPUBLIC OF",0,0,125,7467
SG,SINGAPORE,0,0,300,47
ZA,SOUTH AFRICA,0,0,2864,172103
VN,VIETNAM,0,0,48000,2308594
SUM,SUM,92200,4663267,1902503,84717160
